run 3000000 # for 3ns
PPPM initialization ...
  using 12-bit tables for long-range coulomb (src/kspace.cpp:342)
  G vector (1/distance) = 0.23894965
  grid = 27 24 36
  stencil order = 5
  estimated absolute RMS force accuracy = 0.022319582
  estimated relative force accuracy = 6.7214757e-05
  using double precision KISS FFT
  3d grid and FFT values/proc = 3952 1296
Generated 19 of 36 mixed pair_coeff terms from geometric mixing rule
WARNING: Inconsistent image flags (src/domain.cpp:815)
Per MPI rank memory allocation (min/avg/max) = 9.241 | 9.267 | 9.329 Mbytes
   Step         PotEng          Temp          Press            Lx             Ly             Lz          Density         Volume    
         0  -780461.93      298.06713      20185.409      51.811448      22.400967      69.132488      2.4079335      80237.001    
      1000  -780264.74      297.96552      705.45827      51.762427      22.550281      71.674543      2.3093388      83662.631    
      2000  -780352.98      302.02307     -1511.8147      51.821702      22.537433      71.857209      2.3021451      83924.057    
      3000  -780199.61      300.42957     -315.12577      51.845002      22.509423      71.881688      2.3031893      83886.008    
      4000  -780356.99      302.10894     -25.731127      51.827436      22.516656      71.830109      2.3048837      83824.34     
      5000  -780458.3       301.97409     -250.85584      51.85988       22.533451      71.807796      2.3024401      83913.304    
      6000  -780215.79      298.8756       1043.3563      51.823715      22.502385      71.927693      2.3033818      83878.998    
      7000  -780294.89      302.98834     -289.84273      51.858918      22.528697      71.870345      2.3009645      83967.119    
      8000  -780197.04      294.07154     -2351.5484      51.782004      22.569785      72.091875      2.2931189      84254.402    
      9000  -780248.32      301.80066     -1394.572       51.835014      22.592889      72.037707      2.2901519      84363.555    
     10000  -780209.03      297.24524      1687.5766      51.703989      22.50963       72.125683      2.301637       83942.586    
     11000  -780200.56      297.99876      87.722186      51.757811      22.516903      72.130532      2.2983463      84062.771    
     12000  -780295.41      299.91089     -381.02726      51.771046      22.534665      72.172621      2.2946087      84199.696    
     13000  -780492.41      297.17884     -894.19265      51.74495       22.531994      72.094895      2.2985135      84056.657    
     14000  -780306.24      307.2834       981.7269       51.719493      22.534203      72.027932      2.3015572      83945.497    
     15000  -780331.42      301.61428     -53.926642      51.787314      22.52429       72.103013      2.2971601      84106.179    
     16000  -780305.77      299.94293      1403.7189      51.750316      22.563525      71.94676       2.2997889      84010.042    
     17000  -780433.51      299.69531     -1360.588       51.817173      22.51577       72.255769      2.2918496      84301.062    
     18000  -780257.99      298.10373     -1475.0222      51.755786      22.546143      72.306579      2.2898666      84374.067    
     19000  -780424.55      299.1103       1826.0397      51.730151      22.508185      72.177077      2.2989824      84039.51     
     20000  -780243.92      300.5428       349.89435      51.747149      22.54231       72.140536      2.2959105      84151.957    
     21000  -780372.69      298.57888     -472.85494      51.714404      22.553372      72.215158      2.2938647      84227.008    
     22000  -780320.86      299.69541      453.60865      51.755611      22.514072      72.219409      2.2959041      84152.19     
     23000  -780273.84      303.22015     -107.19105      51.731747      22.511069      72.33926       2.2934635      84241.74     
     24000  -780215.05      303.39994     -1183.4931      51.808818      22.521485      72.291238      2.2905132      84350.249    
     25000  -780263.36      305.99025     -639.90501      51.781922      22.533183      72.105471      2.2964143      84133.495    
     26000  -780334.86      300.7684      -281.08549      51.776861      22.553546      72.140486      2.2934515      84242.183    
     27000  -780355.26      302.32011      266.27127      51.667139      22.564967      72.148069      2.2969172      84115.074    
     28000  -780360.95      297.39834      994.72004      51.648472      22.521395      72.183856      2.3010514      83963.946    
     29000  -780312.07      299.65234     -308.88563      51.690355      22.532666      72.333245      2.2932908      84248.086    
     30000  -780240.36      302.25689     -500.19492      51.689421      22.529445      72.277517      2.2954285      84169.625    
     31000  -780304.21      301.99687      1032.5811      51.718352      22.482649      72.356156      2.2964211      84133.246    
     32000  -780454.58      304.22329     -645.77787      51.650948      22.499483      72.44142       2.294993       84185.597    
     33000  -780457.36      296.81155     -817.62304      51.631612      22.516728      72.470167      2.2931842      84252.002    
     34000  -780264.91      300.98947     -1428.5624      51.728487      22.50386       72.445491      2.2909785      84333.119    
     35000  -780420.35      302.71793     -329.20492      51.670887      22.503088      72.479673      2.2925293      84276.068    
     36000  -780431.44      299.30876      922.73031      51.664759      22.484314      72.558305      2.292229       84287.111    
     37000  -780442.12      298.21219      2205.8536      51.572373      22.524487      72.440269      2.2959746      84149.605    
     38000  -780341.62      299.29996     -978.27187      51.670355      22.517841      72.5514        2.288786       84413.904    
     39000  -780422.41      297.3376      -630.74999      51.693593      22.504123      72.394434      2.294115       84217.819    
     40000  -780355.13      306.52505      413.09854      51.638161      22.542933      72.392467      2.2926861      84270.305    
     41000  -780272.07      304.56156      329.66922      51.678039      22.527178      72.543775      2.2877376      84452.588    
     42000  -780429.94      301.95334      78.494526      51.641038      22.497493      72.617259      2.2900778      84366.287    
     43000  -780375.92      304.91815      123.06449      51.710172      22.49933       72.534347      2.2894433      84389.668    
     44000  -780336.01      301.83038      700.26277      51.672274      22.494585      72.572888      2.2903887      84354.833    
     45000  -780345.08      300.34982     -557.03906      51.653474      22.522893      72.614933      2.2870177      84479.172    
     46000  -780382.69      302.64605      709.98951      51.671401      22.498704      72.508755      2.2920337      84294.293    
     47000  -780254.71      301.80086      1520.2929      51.585729      22.489061      72.738011      2.2895854      84384.43     
     48000  -780391.31      299.88451      219.30238      51.77097       22.514279      72.42465       2.2886976      84417.162    
     49000  -780413.95      298.06999     -429.88716      51.719809      22.502366      72.503221      2.2896905      84380.558    
     50000  -780382.47      299.18831      214.90016      51.690561      22.535115      72.484917      2.2882343      84434.254    
     51000  -780499.03      300.17059      1566.2268      51.688902      22.511074      72.582838      2.2876612      84455.409    
     52000  -780358.27      301.155       -1932.0118      51.66595       22.544825      72.568521      2.285702       84527.798    
     53000  -780462.88      298.31243     -1205.4001      51.735379      22.517792      72.606624      2.2841756      84584.284    
     54000  -780453.73      296.09324      637.37473      51.605434      22.571741      72.526649      2.2869731      84480.818    
     55000  -780294.07      295.54346     -1119.1795      51.666354      22.547233      72.790564      2.2784684      84796.155    
     56000  -780395.06      297.0256      -567.74303      51.60335       22.516361      72.851327      2.2824727      84647.389    
     57000  -780278.88      299.46204     -596.3172       51.732392      22.500699      72.834191      2.2789001      84780.091    
