run 3000000 # for 3ns
PPPM initialization ...
  using 12-bit tables for long-range coulomb (src/kspace.cpp:342)
  G vector (1/distance) = 0.23894965
  grid = 27 24 36
  stencil order = 5
  estimated absolute RMS force accuracy = 0.022319582
  estimated relative force accuracy = 6.7214757e-05
  using double precision KISS FFT
  3d grid and FFT values/proc = 3952 1296
Generated 19 of 36 mixed pair_coeff terms from geometric mixing rule
WARNING: Inconsistent image flags (src/domain.cpp:815)
Per MPI rank memory allocation (min/avg/max) = 9.205 | 9.241 | 9.61 Mbytes
   Step         PotEng          Temp          Press            Lx             Ly             Lz          Density         Volume    
         0  -784399.68      300            4390.3255      51.811448      22.400967      69.132488      2.4079335      80237.001    
      1000  -776885.33      306.35707      26746.669      51.811448      22.400967      69.132488      2.4079335      80237.001    
      2000  -777705.09      291.85465      24202.059      51.811448      22.400967      69.132488      2.4079335      80237.001    
      3000  -778003.11      300.969        24138.944      51.811448      22.400967      69.132488      2.4079335      80237.001    
      4000  -778283.05      299.10363      22669.53       51.811448      22.400967      69.132488      2.4079335      80237.001    
      5000  -778500.77      302.56476      23915.904      51.811448      22.400967      69.132488      2.4079335      80237.001    
      6000  -778536.61      297.05491      22083.005      51.811448      22.400967      69.132488      2.4079335      80237.001    
      7000  -778634.73      303.84236      22553.611      51.811448      22.400967      69.132488      2.4079335      80237.001    
      8000  -778763.75      300.60515      22075.528      51.811448      22.400967      69.132488      2.4079335      80237.001    
      9000  -778715.65      295.43737      21329.91       51.811448      22.400967      69.132488      2.4079335      80237.001    
     10000  -778820.96      303.16596      22007.045      51.811448      22.400967      69.132488      2.4079335      80237.001    
     11000  -778869.4       297.01608      21462.288      51.811448      22.400967      69.132488      2.4079335      80237.001    
     12000  -778968.3       304.62197      21359.113      51.811448      22.400967      69.132488      2.4079335      80237.001    
     13000  -778920.81      300.14155      21354.285      51.811448      22.400967      69.132488      2.4079335      80237.001    
     14000  -778959.13      301.30633      22128.471      51.811448      22.400967      69.132488      2.4079335      80237.001    
     15000  -778899.39      299.8427       23515.732      51.811448      22.400967      69.132488      2.4079335      80237.001    
     16000  -779031.82      300.66185      21504.897      51.811448      22.400967      69.132488      2.4079335      80237.001    
     17000  -778892.8       299.97919      21768.101      51.811448      22.400967      69.132488      2.4079335      80237.001    
     18000  -779103.93      298.47913      22473.662      51.811448      22.400967      69.132488      2.4079335      80237.001    
     19000  -779076.46      303.96944      21499.93       51.811448      22.400967      69.132488      2.4079335      80237.001    
     20000  -779190.74      298.32969      21381.332      51.811448      22.400967      69.132488      2.4079335      80237.001    
     21000  -779129.3       295.30757      20962.471      51.811448      22.400967      69.132488      2.4079335      80237.001    
     22000  -779087.16      301.68258      21281.007      51.811448      22.400967      69.132488      2.4079335      80237.001    
     23000  -779174.73      296.103        19776.433      51.811448      22.400967      69.132488      2.4079335      80237.001    
     24000  -779211.44      299.49358      21018.076      51.811448      22.400967      69.132488      2.4079335      80237.001    
     25000  -779074.75      302.28264      20536.414      51.811448      22.400967      69.132488      2.4079335      80237.001    
     26000  -779261.44      299.48512      19845.19       51.811448      22.400967      69.132488      2.4079335      80237.001    
     27000  -779147.38      300.45739      22153.286      51.811448      22.400967      69.132488      2.4079335      80237.001    
     28000  -779312.58      299.45777      21816.587      51.811448      22.400967      69.132488      2.4079335      80237.001    
     29000  -779213.87      300.61094      21984.669      51.811448      22.400967      69.132488      2.4079335      80237.001    
     30000  -779350.87      299.75878      22076.879      51.811448      22.400967      69.132488      2.4079335      80237.001    
     31000  -779318.91      300.67067      21073.266      51.811448      22.400967      69.132488      2.4079335      80237.001    
     32000  -779337.5       300.48594      21425.335      51.811448      22.400967      69.132488      2.4079335      80237.001    
     33000  -779217.88      299.39563      22032.881      51.811448      22.400967      69.132488      2.4079335      80237.001    
     34000  -779498.62      298.62159      19477.41       51.811448      22.400967      69.132488      2.4079335      80237.001    
     35000  -779356.27      297.59257      21244.956      51.811448      22.400967      69.132488      2.4079335      80237.001    
     36000  -779417.31      302.48637      20754.624      51.811448      22.400967      69.132488      2.4079335      80237.001    
     37000  -779401.47      302.01864      21780.645      51.811448      22.400967      69.132488      2.4079335      80237.001    
     38000  -779339.39      304.23856      20842.427      51.811448      22.400967      69.132488      2.4079335      80237.001    
     39000  -779447.41      301.87118      21253.356      51.811448      22.400967      69.132488      2.4079335      80237.001    
     40000  -779415.54      300.90972      21036.523      51.811448      22.400967      69.132488      2.4079335      80237.001    
     41000  -779410.61      297.5512       19942.423      51.811448      22.400967      69.132488      2.4079335      80237.001    
     42000  -779352.93      300.22907      20999.642      51.811448      22.400967      69.132488      2.4079335      80237.001    
     43000  -779386.13      296.84957      20999.974      51.811448      22.400967      69.132488      2.4079335      80237.001    
     44000  -779483.53      300.1199       20167.255      51.811448      22.400967      69.132488      2.4079335      80237.001    
     45000  -779351.12      302.84983      19740.732      51.811448      22.400967      69.132488      2.4079335      80237.001    
     46000  -779386.11      297.7967       20446.954      51.811448      22.400967      69.132488      2.4079335      80237.001    
     47000  -779314.55      300.30691      19863.431      51.811448      22.400967      69.132488      2.4079335      80237.001    
     48000  -779438.74      297.22654      21165.896      51.811448      22.400967      69.132488      2.4079335      80237.001    
     49000  -779311.49      298.69793      20689.43       51.811448      22.400967      69.132488      2.4079335      80237.001    
     50000  -779467.46      298.59233      19949.179      51.811448      22.400967      69.132488      2.4079335      80237.001    
     51000  -779376.8       302.93396      21158.861      51.811448      22.400967      69.132488      2.4079335      80237.001    
     52000  -779443.7       299.73078      21218.275      51.811448      22.400967      69.132488      2.4079335      80237.001    
     53000  -779611.64      296.9166       21971.178      51.811448      22.400967      69.132488      2.4079335      80237.001    
     54000  -779471.06      301.39656      20786.582      51.811448      22.400967      69.132488      2.4079335      80237.001    
     55000  -779489.46      298.47308      20926.666      51.811448      22.400967      69.132488      2.4079335      80237.001    
     56000  -779585.88      293.96353      21921.266      51.811448      22.400967      69.132488      2.4079335      80237.001    
     57000  -779488.49      303.399        21573.279      51.811448      22.400967      69.132488      2.4079335      80237.001    
     58000  -779502         297.53902      20746.087      51.811448      22.400967      69.132488      2.4079335      80237.001    
     59000  -779629.02      300.89786      19998.562      51.811448      22.400967      69.132488      2.4079335      80237.001    
     60000  -779638.81      305.43974      20293.308      51.811448      22.400967      69.132488      2.4079335      80237.001    
     61000  -779603.94      296.23809      20608.063      51.811448      22.400967      69.132488      2.4079335      80237.001    
     62000  -779555.15      297.99744      20436.399      51.811448      22.400967      69.132488      2.4079335      80237.001    
     63000  -779538.63      299.86905      21013.755      51.811448      22.400967      69.132488      2.4079335      80237.001    
     64000  -779560.21      295.95768      18094.754      51.811448      22.400967      69.132488      2.4079335      80237.001    
     65000  -779540.78      302.02361      19706.832      51.811448      22.400967      69.132488      2.4079335      80237.001    
     66000  -779524.14      298.99609      19715.547      51.811448      22.400967      69.132488      2.4079335      80237.001    
     67000  -779639.14      299.64842      20597.564      51.811448      22.400967      69.132488      2.4079335      80237.001    
     68000  -779568.45      305.70367      19752.312      51.811448      22.400967      69.132488      2.4079335      80237.001    
     69000  -779590.78      300.59729      19480.415      51.811448      22.400967      69.132488      2.4079335      80237.001    
     70000  -779563.01      302.78495      19755.56       51.811448      22.400967      69.132488      2.4079335      80237.001    
     71000  -779695.99      298.99416      18951.182      51.811448      22.400967      69.132488      2.4079335      80237.001    
     72000  -779484.7       302.46673      20680.553      51.811448      22.400967      69.132488      2.4079335      80237.001    
     73000  -779615.33      297.49954      20450.406      51.811448      22.400967      69.132488      2.4079335      80237.001    
     74000  -779546.78      298.11249      20738.63       51.811448      22.400967      69.132488      2.4079335      80237.001    
     75000  -779516.25      296.63523      20438.294      51.811448      22.400967      69.132488      2.4079335      80237.001    
     76000  -779549.17      302.54246      20741.147      51.811448      22.400967      69.132488      2.4079335      80237.001    
     77000  -779655.12      298.11308      20311.42       51.811448      22.400967      69.132488      2.4079335      80237.001    
     78000  -779533.81      298.06922      19818.92       51.811448      22.400967      69.132488      2.4079335      80237.001    
     79000  -779654.19      296.04578      21080.772      51.811448      22.400967      69.132488      2.4079335      80237.001    
     80000  -779631.51      301.92803      21561.503      51.811448      22.400967      69.132488      2.4079335      80237.001    
     81000  -779700.34      297.23964      20038.125      51.811448      22.400967      69.132488      2.4079335      80237.001    
     82000  -779585.89      297.84781      21022.22       51.811448      22.400967      69.132488      2.4079335      80237.001    
     83000  -779610.29      301.54237      20527.485      51.811448      22.400967      69.132488      2.4079335      80237.001    
     84000  -779662.02      301.16546      19993.247      51.811448      22.400967      69.132488      2.4079335      80237.001    
     85000  -779537.67      306.7466       20676.912      51.811448      22.400967      69.132488      2.4079335      80237.001    
     86000  -779635.22      298.87911      19960.625      51.811448      22.400967      69.132488      2.4079335      80237.001    
     87000  -779834.32      301.52824      19233.68       51.811448      22.400967      69.132488      2.4079335      80237.001    
     88000  -779638.16      300.12798      19279.349      51.811448      22.400967      69.132488      2.4079335      80237.001    
     89000  -779687.07      299.61655      20575.043      51.811448      22.400967      69.132488      2.4079335      80237.001    
     90000  -779707.1       299.41498      18416.344      51.811448      22.400967      69.132488      2.4079335      80237.001    
     91000  -779607.31      299.90588      19760.341      51.811448      22.400967      69.132488      2.4079335      80237.001    
     92000  -779831.65      295.99066      21223.284      51.811448      22.400967      69.132488      2.4079335      80237.001    
     93000  -779610.71      297.27728      20348.67       51.811448      22.400967      69.132488      2.4079335      80237.001    
     94000  -779632.69      298.89523      19851.254      51.811448      22.400967      69.132488      2.4079335      80237.001    
     95000  -779563.77      300.91556      21323.272      51.811448      22.400967      69.132488      2.4079335      80237.001    
     96000  -779722.9       304.05633      20673.295      51.811448      22.400967      69.132488      2.4079335      80237.001    
     97000  -779733.29      296.12197      20952.57       51.811448      22.400967      69.132488      2.4079335      80237.001    
     98000  -779669.56      298.50434      19483.155      51.811448      22.400967      69.132488      2.4079335      80237.001    
     99000  -779715.7       296.66303      21062.437      51.811448      22.400967      69.132488      2.4079335      80237.001    
    100000  -779689.48      300.55251      20538.712      51.811448      22.400967      69.132488      2.4079335      80237.001    
    101000  -779794.35      301.55625      21108.686      51.811448      22.400967      69.132488      2.4079335      80237.001    
    102000  -779590.58      300.97931      20681.107      51.811448      22.400967      69.132488      2.4079335      80237.001    
    103000  -779705.09      299.68456      20875.425      51.811448      22.400967      69.132488      2.4079335      80237.001    
    104000  -779706.43      296.77662      21144.716      51.811448      22.400967      69.132488      2.4079335      80237.001    
    105000  -779697.32      296.14815      20256.396      51.811448      22.400967      69.132488      2.4079335      80237.001    
    106000  -779729.6       303.16206      20060.591      51.811448      22.400967      69.132488      2.4079335      80237.001    
    107000  -779713.25      300.73705      20827.064      51.811448      22.400967      69.132488      2.4079335      80237.001    
    108000  -779673.24      302.59329      20868.744      51.811448      22.400967      69.132488      2.4079335      80237.001    
    109000  -779584.72      294.9864       20642.778      51.811448      22.400967      69.132488      2.4079335      80237.001    
